target_url,page_type,primary_query,secondary_queries,search_intent,target_location,funnel_stage,current_status,cannibalization_risk,recommended_title,recommended_h1,notes
https://barbarossoft.com.tr/,Ana sayfa,Barbarossoft,Kayseri dijital ajans|Kayseri web tasarım ve SEO ajansı|butik dijital ajans,Marka ve ajans araştırması,Kayseri / Türkiye,Değerlendirme,Uygulandı,Düşük,"Barbarossoft | Kayseri Web Tasarım, SEO ve Google Ads","İşletmeler İçin Web Tasarım, SEO ve Google Ads Çözümleri",Ana sayfa marka ve genel ajans niyetine ayrıldı.
https://barbarossoft.com.tr/kayseri-web-tasarim,Hizmet,kayseri web tasarım,kayseri web tasarım firması|kayseri web sitesi|kayseri web sitesi yaptırma|kayseri web tasarım ajansı,Ticari hizmet satın alma,Kayseri,Karar,Uygulandı,Orta,Kayseri Web Tasarım ve Kurumsal Web Sitesi | Barbarossoft,Kayseri Web Tasarım Hizmeti,Ticari web tasarım niyeti bu sayfada tutuldu.
https://barbarossoft.com.tr/kurumsal-web-tasarim,Hizmet,kurumsal web tasarım,kurumsal web sitesi|şirket web sitesi|firma web sitesi|kurumsal site yenileme,Ticari,Türkiye / Kayseri,Karar,Yeni sayfa eklendi,Düşük,Kurumsal Web Tasarım ve Şirket Web Sitesi | Barbarossoft,Kurumsal Web Tasarım Hizmeti,Kurumsal web sitesi niyeti ayrı URL'ye alındı.
https://barbarossoft.com.tr/kayseri-seo,Hizmet,kayseri seo,kayseri seo danışmanlığı|kayseri seo firması|seo hizmeti kayseri|teknik seo kayseri|seo danışmanı kayseri,Ticari yerel,Kayseri,Karar,Yeni sayfa eklendi,Orta,Kayseri SEO Hizmeti ve SEO Danışmanlığı | Barbarossoft,Kayseri SEO Hizmeti,/yerel-seo ile kanibalizasyonu azaltmak için ticari danışmanlık odağı verildi.
https://barbarossoft.com.tr/yerel-seo,Hizmet,yerel seo,local seo hizmeti|yerel arama optimizasyonu|google yerel görünürlük|hizmet alanı seo,Ticari ve bilgilendirici,Türkiye / hizmet alanı işletmeleri,Değerlendirme,Ayrıştırıldı,Orta,Yerel SEO Hizmeti | Bölgesel Google Görünürlüğü,Yerel SEO Hizmeti,"Yerel sinyaller, alaka/mesafe/bilinirlik ve GBP uyumu odağı verildi."
https://barbarossoft.com.tr/google-haritalar-optimizasyonu,Hizmet,google haritalar optimizasyonu,google haritalar seo|google işletme profili optimizasyonu|google maps sıralama|işletme profili yönetimi,Ticari,Kayseri / Türkiye,Karar,Ayrıştırıldı,Düşük,Google Haritalar Optimizasyonu ve İşletme Profili Yönetimi,Google Haritalar Optimizasyonu,Harita/GBP niyeti yerel SEO'dan ayrıldı.
https://barbarossoft.com.tr/google-ads-yonetimi,Hizmet,google ads yönetimi,kayseri google ads|google reklam yönetimi|google ads danışmanlığı|arama reklamı yönetimi,Ticari,Kayseri / Türkiye,Karar,Uygulandı,Düşük,Google Ads Yönetimi | Reklam Optimizasyonu - Barbarossoft,Google Ads Yönetimi,SEO ve Ads tamamlayıcı anlatıldı; bütçe ayrı tutuluyor.
https://barbarossoft.com.tr/e-ticaret-sitesi,Hizmet,e-ticaret sitesi,kayseri e-ticaret sitesi|e-ticaret web tasarım|online satış sitesi,Ticari,Türkiye / Kayseri,Karar,Uygulandı,Düşük,E-Ticaret Sitesi | Satış Odaklı Web Çözümleri - Barbarossoft,E-Ticaret Sitesi,Ürün schema kullanılmadı; hizmet mantığında kaldı.
https://barbarossoft.com.tr/web-sitesi-bakim-hizmeti,Hizmet,web sitesi bakım hizmeti,web sitesi güncelleme|site bakım paketi|web sitesi destek,Ticari,Türkiye / Kayseri,Karar,Uygulandı,Düşük,Web Sitesi Bakım Hizmeti | Güncelleme ve Destek - Barbarossoft,Web Sitesi Bakım Hizmeti,Bakım ile aylık SEO çalışması ayrıştırıldı.
https://barbarossoft.com.tr/projeler,Portfolyo,Barbarossoft projeler,web tasarım projeleri|referans web sitesi|kayseri web tasarım projeleri,Marka güveni,Türkiye / Kayseri,Değerlendirme,Uygulandı,Düşük,Projeler | Barbarossoft,Gerçek işletmeler için hazırlanan dijital altyapı çalışmaları.,Vaka kanıtı ve iç linkleme merkezi.
